Name	ScopeWizard	
File	C:\Users\ysmandza\Documents\lcls\lcsl-motion-test-incremental-encoder\data\Scope Project5.csv	
Starttime of export	133907135116130000	Friday, May 2, 2025	19:38:31.613
Endtime of export	133907135912030000	Friday, May 2, 2025	19:39:51.203


Name	fPosition	Name	fPosDiff	Name	nRawEncoderDINT	Name	bPositionHolding
SymbolComment	 Used internally and by the IOC to pick a destination for the move	SymbolComment	 Other status information for users of the IOC 
 Position lag difference	SymbolComment	 Raw encoder IO for INT (EL5072 LVDT)	SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	61472	IndexGroup	16448
IndexOffset	159149392	IndexOffset	159150832	IndexOffset	159148748	IndexOffset	159162050
SymbolName	SmartActMCS2.M1.fPosition	SymbolName	SmartActMCS2.M1.fPosDiff	SymbolName	SmartActMCS2.M1.nRawEncoderDINT	SymbolName	SmartActMCS2.fbPiezoDriveDS402Pp.bPositionHolding
NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1620	5000	1620	109	1620	4891	1620	0
1630	5000	1630	108	1630	4892	1630	0
1640	5000	1640	110	1640	4890	1640	0
1650	5000	1650	108	1650	4892	1650	0
1660	5000	1660	109	1660	4891	1660	0
1670	5000	1670	109	1670	4891	1670	0
1680	5000	1680	109	1680	4891	1680	0
1690	5000	1690	109	1690	4891	1690	0
1700	5000	1700	108	1700	4892	1700	0
1710	5000	1710	109	1710	4891	1710	0
1720	5000	1720	109	1720	4891	1720	0
1730	5000	1730	110	1730	4890	1730	0
1740	5000	1740	109	1740	4891	1740	0
1750	5000	1750	109	1750	4891	1750	0
1760	5000	1760	111	1760	4889	1760	0
1770	5000	1770	108	1770	4892	1770	0
1780	5000	1780	110	1780	4890	1780	0
1790	5000	1790	108	1790	4892	1790	0
1800	5000	1800	111	1800	4889	1800	0
1810	5000	1810	109	1810	4891	1810	0
1820	5000	1820	108	1820	4892	1820	0
1830	5000	1830	108	1830	4892	1830	0
1840	5000	1840	110	1840	4890	1840	0
1850	5000	1850	110	1850	4890	1850	0
1860	5000	1860	109	1860	4891	1860	0
1870	5000	1870	109	1870	4891	1870	0
1880	5000	1880	109	1880	4891	1880	0
1890	5000	1890	107	1890	4893	1890	0
1900	5000	1900	108	1900	4892	1900	0
1910	5000	1910	108	1910	4892	1910	0
1920	5000	1920	108	1920	4892	1920	0
1930	5000	1930	110	1930	4890	1930	0
1940	5000	1940	110	1940	4890	1940	0
1950	5000	1950	108	1950	4892	1950	0
1960	5000	1960	108	1960	4892	1960	0
1970	5000	1970	109	1970	4891	1970	0
1980	5000	1980	108	1980	4892	1980	0
1990	5000	1990	107	1990	4893	1990	0
2000	5000	2000	109	2000	4891	2000	0
2010	5000	2010	108	2010	4892	2010	0
2020	5000	2020	110	2020	4890	2020	0
2030	5000	2030	109	2030	4891	2030	0
2040	5000	2040	109	2040	4891	2040	0
2050	5000	2050	109	2050	4891	2050	0
2060	5000	2060	108	2060	4892	2060	0
2070	5000	2070	109	2070	4891	2070	0
2080	5000	2080	107	2080	4893	2080	0
2090	5000	2090	109	2090	4891	2090	0
2100	5000	2100	108	2100	4892	2100	0
2110	5000	2110	109	2110	4891	2110	0
2120	5000	2120	109	2120	4891	2120	0
2130	5000	2130	108	2130	4892	2130	0
2140	5000	2140	109	2140	4891	2140	0
2150	5000	2150	108	2150	4892	2150	0
2160	5000	2160	108	2160	4892	2160	0
2170	5000	2170	108	2170	4892	2170	0
2180	5000	2180	107	2180	4893	2180	0
2190	5000	2190	109	2190	4891	2190	0
2200	5000	2200	108	2200	4892	2200	0
2210	5000	2210	108	2210	4892	2210	0
2220	5000	2220	108	2220	4892	2220	0
2230	5000	2230	105	2230	4895	2230	0
2240	5000	2240	108	2240	4892	2240	0
2250	5000	2250	108	2250	4892	2250	0
2260	5000	2260	107	2260	4893	2260	0
2270	5000	2270	109	2270	4891	2270	0
2280	5000	2280	111	2280	4889	2280	0
2290	5000	2290	110	2290	4890	2290	0
2300	5000	2300	108	2300	4892	2300	0
2310	5000	2310	108	2310	4892	2310	0
2320	5000	2320	108	2320	4892	2320	0
2330	5000	2330	109	2330	4891	2330	0
2340	5000	2340	110	2340	4890	2340	0
2350	5000	2350	108	2350	4892	2350	0
2360	5000	2360	108	2360	4892	2360	0
2370	5000	2370	109	2370	4891	2370	0
2380	5000	2380	109	2380	4891	2380	0
2390	5000	2390	107	2390	4893	2390	0
2400	5000	2400	108	2400	4892	2400	0
2410	5000	2410	109	2410	4891	2410	0
2420	5000	2420	108	2420	4892	2420	0
2430	5000	2430	107	2430	4893	2430	0
2440	5000	2440	110	2440	4890	2440	0
2450	5000	2450	110	2450	4890	2450	0
2460	5000	2460	108	2460	4892	2460	0
2470	5000	2470	108	2470	4892	2470	0
2480	5000	2480	111	2480	4889	2480	0
2490	5000	2490	109	2490	4891	2490	0
2500	5000	2500	108	2500	4892	2500	0
2510	5000	2510	110	2510	4890	2510	0
2520	5000	2520	109	2520	4891	2520	0
2530	5000	2530	108	2530	4892	2530	0
2540	5000	2540	109	2540	4891	2540	0
2550	5000	2550	110	2550	4890	2550	0
2560	5000	2560	109	2560	4891	2560	0
2570	5000	2570	110	2570	4890	2570	0
2580	5000	2580	109	2580	4891	2580	0
2590	5000	2590	109	2590	4891	2590	0
2600	5000	2600	108	2600	4892	2600	0
2610	5000	2610	109	2610	4891	2610	0
2620	5000	2620	107	2620	4893	2620	0
2630	5000	2630	109	2630	4891	2630	0
